,RegionID,Parameters,MSE,AIC,Output
88,95993,"(6, 1, 2)",4698890.291762301,1747.1281225550927,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c26d3d0f0>
89,96375,"(6, 0, 1)",407448.28632466827,1621.9059526919784,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2c777668>
90,91742,"(8, 0, 2)",164919.604337917,1459.2883090275052,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x10eef6588>
91,96451,"(1, 0, 2)",1372416.7975079396,1735.5459554704019,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2a929f98>
92,96038,"(1, 0, 2)",11880231.562599063,1911.001859596494,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c25da3240>
93,62035,"(8, 0, 2)",1866211.6709507245,1804.4202070664958,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2c777160>
94,96007,"(1, 0, 2)",3185626.7250531693,1868.2583891778024,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2b9bd198>
95,62066,"(8, 2, 1)",2373942.929587469,1721.3001611572276,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2b60a358>
96,96450,"(1, 0, 2)",650711.0466957341,1732.2693606737241,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2af0bfd0>
97,96424,"(1, 0, 2)",3286954.0594100044,1928.6416162785235,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2c793a90>
98,96447,"(1, 0, 2)",9332300.97233538,1950.1767354733047,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c2c499b70>
99,91720,"(4, 0, 0)",102708.96195685664,1499.590434564954,<statsmodels.tsa.statespace.sarimax.SARIMAXResultsWrapper object at 0x1c23582eb8>
